molecule_smi,synthesis_success,abl1_pIC50
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,yes,8.045757490560675
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccc(C(F)(F)F)cn12,no,
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,yes,8.065501548756432
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,yes,9.698970004336019
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,yes,8.638272163982407
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,yes,7.045757490560675
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cn[nH]c2c1,no,
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(N)nc1,yes,7.055517327849832
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,no,
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,yes,7.886056647693163
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,yes,7.721246399047171
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccc(C(F)(F)F)cn12,yes,7.229147988357855
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,yes,7.920818753952375
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,yes,8.221848749616356
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,yes,8.522878745280337
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnccn1,no,
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cccnc1,no,
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,no,
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,yes,7.853871964321762
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,yes,7.346787486224656
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,no,
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,yes,6.721246399047171
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccc2n1,yes,6.657577319177793
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ccc2n1,yes,6.552841968657781
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccncc1,yes,5.0
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cccc(F)c1,yes,5.0
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(F)cc1,yes,5.0
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(N)nc1,yes,6.7447274948966935
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,no,
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,yes,7.769551078621726
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,no,
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ccccn1,yes,5.0
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ccccc1,yes,5.0
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cccc(F)c1,yes,5.0
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,no,
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,no,
COC(=N)c1ccc2ncc(C#Cc3cc(C(=O)Nc4ccccc4)ccc3C)n2c1,yes,5.0
Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1cnc2cccnc2c1,yes,5.221848749616356
Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1cnc2scnc2c1,yes,5.0
Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1ccccc1,yes,5.0
Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1cccc(C#N)c1,yes,5.0
Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1cnc(Nc2ccccc2)nc1,no,
Cc1ccc(C(=O)Nc2ccccc2)cc1C#Cc1ccccc1F,yes,5.0
Cc1ncc(C#Cc2cc(C(=O)Nc3ccccc3)ccc2C)s1,yes,5.096910013008056
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,yes,8.045757490560675
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccc(C(F)(F)F)cn12,yes,7.619788758288394
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,yes,7.346787486224656
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,no,
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,yes,9.0
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,yes,7.958607314841775
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cn[nH]c2c1,no,
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(F)cc1,yes,5.769551078621726
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,no,
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,yes,7.795880017344075
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,yes,7.568636235841013
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,yes,7.522878745280337
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,yes,8.301029995663981
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,yes,8.698970004336019
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,yes,7.292429823902063
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccccn1,yes,5.221848749616356
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2scnc2c1,yes,7.221848749616356
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cccc(C#N)c1,no,
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,no,
Cc1ccc(NC(=O)c2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,yes,7.769551078621726
COC(=N)c1ccc2ncc(C#Cc3cc(NC(=O)c4ccc(CN5CCC(O)CC5)c(C(F)(F)F)c4)ccc3C)n2c1,no,
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,yes,7.337242168318426
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,no,
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnccn1,no,
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ccc2n1,yes,6.657577319177793
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnc2c1,yes,6.7447274948966935
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(F)cc1,yes,5.0
Cc1ccc(NC(=O)c2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccccc1F,yes,5.0
COC(=N)c1ccc2ncc(C#Cc3cc(NC(=O)c4ccc(Cn5ccnc5)c(C(F)(F)F)c4)ccc3C)n2c1,no,
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,yes,7.795880017344075
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,yes,8.154901959985743
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccc2n1,yes,6.886056647693163
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ccncc1,yes,5.0
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncnc1,yes,6.638272163982407
Cc1ccc(NC(=O)c2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc(Nc2ccccc2)nc1,yes,6.638272163982407
Cc1ncc(C#Cc2cc(NC(=O)c3ccc(Cn4ccnc4)c(C(F)(F)F)c3)ccc2C)s1,no,
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5ccccn45)n(C)n3)cc2C(F)(F)F)CC1,yes,5.522878745280337
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cccnn45)n(C)n3)cc2C(F)(F)F)CC1,yes,7.568636235841013
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncc5nccn45)n(C)n3)cc2C(F)(F)F)CC1,yes,8.698970004336019
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cnccn45)n(C)n3)cc2C(F)(F)F)CC1,yes,9.397940008672037
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncn4C)n(C)n3)cc2C(F)(F)F)CC1,yes,7.42021640338319
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnccn4)n(C)n3)cc2C(F)(F)F)CC1,no,
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5ccccc5n4)n(C)n3)cc2C(F)(F)F)CC1,yes,7.638272163982407
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5[nH]ccc5n4)n(C)n3)cc2C(F)(F)F)CC1,yes,8.045757490560675
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5scnc5c4)n(C)n3)cc2C(F)(F)F)CC1,yes,6.958607314841775
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5cn[nH]c5c4)n(C)n3)cc2C(F)(F)F)CC1,yes,8.221848749616356
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cccnc4)n(C)n3)cc2C(F)(F)F)CC1,yes,7.481486060122112
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4ccc(F)cc4)n(C)n3)cc2C(F)(F)F)CC1,yes,7.376750709602099
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncnc4)n(C)n3)cc2C(F)(F)F)CC1,yes,8.154901959985743
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cnc5nccn5c4)n(C)n3)cc2C(F)(F)F)CC1,no,
CN1CCN(Cc2ccc(NC(=O)Nc3cc(C#Cc4cncc5nc[nH]c45)n(C)n3)cc2C(F)(F)F)CC1,yes,8.522878745280337
Cc1ncc(C#Cc2cc(NC(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)nn2C)s1,no,
