Compound,SMILES,R1,R2,R3,DENV % @ 50 uM,WNV % @ 50 uM,DENV2proHeLa % @ 12.5 uM,DENV2proHeLa EC50 (uM),CC50 (uM),thrombin % @ 25 uM,trypsin % @ 50 uM,virus titer reduction assay % @ 12.5 uM,virus titer reduction assay EC50 (uM)
57,O=C(C1=CC=C(OC2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NCC5=CC=C(C(N)=O)C=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,n.i.,n.i.,82.2 +/- 3.6,1.0 +/- 0.1,17.9 +/- 1.4,n.i.,n.i.,90.4,
58,O=C(C1=CC=C(OCC2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NCC5=CC=C(C(N)=O)C=C5)=O,O=CC1=CC=C(C=C1)OCC2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,28.5 +/- 1.1,65.5 +/- 3.6,64.4 +/- 8.9,4.0 +/- 0.2,> 25,n.i.,n.i.,,
59,O=C(NCC1=CC=C(C(N)=O)C=C1)[C@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)NC(CC4=CC=C(C5=CC=CC=C5)C=C4)=O,O=CCC1=CC=C(C=C1)C2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)C(N)=O,19.6 +/- 8.7,n.i.,25.1 +/- 13.1,n.d.,> 50,n.i.,n.i.,,
60,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=C(Cl)C=CC=C2Cl)C=C1)C(NC3=CC=CC(C(N)=O)=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=C(C=CC=C2Cl)Cl,NC1=CC=CC(C(N)=O)=C1,20.3 +/- 3.1,19.7 +/- 8.1,61.8 +/- 1.5,2.4 +/- 0.1  ,> 50,n.i.,10.7 +/- 4.9,,
61,O=C(CCCCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NC3=CC=CC(C(N)=O)=C3)=O,O=CCCCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,18.4 +/- 1.6,28.4 +/- 4.1,61.9 +/- 6.4,2.2 +/- 0.3,> 12.5,n.i.,n.i.,,
62,O=C(C1=CC(C=CC=C2)=C2C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC2=C(C=C1)C=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,n.i.,71.3 +/- 3.0,4.5 +/- 0.5,> 100,n.i.,26.8 +/- 8.2,,
63,O=C(C1=CC(OCCO2)=C2C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC2=C(C=C1)OCCO2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,12.1 +/- 2.2,32.8 +/- 3.4,69.4 +/- 14.0,5.4 +/- 0.3,> 100,n.i.,11.9 +/- 3.9,,
64,O=C(C1=CC=C(OC2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OCC4=C(Cl)C=CC=C4Cl)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=C(C=CC=C2Cl)Cl,NC1=CC=CC(C(N)=O)=C1,12.4 +/- 7.7,n.i.,70.9 +/- 9.3,2.2 +/- 0.2,> 50,n.i.,n.i.,,
65,O=C(C1=CC=C(OC2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC(OC)=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC(OC)=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,23.8 +/- 3.3,72.6 +/- 2.5,2.1 +/- 0.1,> 100,n.i.,n.i.,,
66,O=C(C1=CC=C(OC2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,13.0 +/- 2.4,73.0 +/- 2.1,2.9 +/- 0.1,> 50,n.i.,n.i.,,
67,O=C(C1=CC=C(OC2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,18.8 +/- 2.5,47.1 +/- 2.0,82.8 +/- 0.9,0.7 +/- 0.0,> 100,n.i.,n.i.,100,0.66
68,O=C(C1=CC(OC2=CC=CC=C2)=CC=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC(OC2=CC=CC=C2)=CC=C1,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,24.0 +/- 2.3,83.5 +/- 6.1,1.7 +/- 0.3,> 100,n.i.,n.i.,,
69,O=C(C1=CC=C(OC2=CC=CC=C2OC)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=CC=C2OC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,16.1 +/- 2.1,32.3 +/- 4.3,76.6 +/- 3.9,2.2 +/- 0.1,> 100,n.i.,25.9 +/- 9.7,,
70,O=C(C1=CC=C(OC2=CC=C(C#N)C=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=C(C=C2)C#N,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,11.3 +/- 6.3,n.i.,79.4 +/- 2.7,1.0 +/- 0.0,> 100,n.i.,n.i.,87.8,0.66
71,O=C(C1=CC=C(OC2=CC=C(C(F)(F)F)C=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=C(C=C2)C(F)(F)F,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,23.1 +/- 5.0,76.2 +/- 2.2,1.2 +/- 0.2,> 100,n.i.,15.8 +/- 1.4,100,0.24
72,O=C(C1=CC=C(OC2=CC=C(Cl)C=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,21.3 +/- 6.1,86.1 +/- 5.9,0.6 +/- 0.0,96.1 +/- 8.4,n.i.,n.i.,,
73,O=C(C1=CC=C(OC2=CC=CC(Cl)=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)OC2=CC=CC(Cl)=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,18.9 +/- 1.7,87.1 +/- 5.5,1.0 +/- 0.1,> 100,n.i.,n.i.,,
74,O=C(C1=CC=C(OC2=CC=C(OCO3)C3=C2)C=C1)N[C@@H](C4=CC=C(OCC5=CC=CC=C5)C=C4)C(NC6=CC=CC(C(N)=O)=C6)=O,O=CC1=CC=C(C=C1)OC2=CC=C3OCOC3=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,19.7 +/- 2.2,30.8 +/- 6.5,77.5 +/- 1.2,1.5 +/- 0.2,> 100,n.i.,n.i.,97.7,2.17
75,O=C(C1=CC=C(OC2=CC=C(OCCO3)C3=C2)C=C1)N[C@@H](C4=CC=C(OCC5=CC=CC=C5)C=C4)C(NC6=CC=CC(C(N)=O)=C6)=O,O=CC1=CC=C(C=C1)OC2=CC=C3OCCOC3=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,21.7 +/- 3.4,41.7 +/- 2.2,60.7 +/- 1.4,3.8 +/- 0.3,> 100,n.i.,n.i.,,
76,O=C(C1=CC=C(OC2=CC=CC(CC3)=C2C3=O)C=C1)N[C@@H](C4=CC=C(OCC5=CC=CC=C5)C=C4)C(NC6=CC=CC(C(N)=O)=C6)=O,O=CC1=CC=C(C=C1)OC2=CC=CC(CC3)=C2C3=O,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,13.9 +/- 6.4,65.6 +/- 0.9,57.1 +/- 7.7,3.9 +/- 0.6,> 100,n.i.,n.i.,,
77,O=C(C1=CC=C(C(C2=CC=CC=C2)=O)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)C(C2=CC=CC=C2)=O,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,n.i.,75.9 +/- 4.8,0.4 +/- 0.0,> 100,n.i.,n.i.,100,1.13
78,O=C(C1=CC=C(C(C2=CC=CC=C2)=O)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC(OC)=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)C(C2=CC=CC=C2)=O,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC(OC)=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,n.i.,78.8 +/- 1.0,1.2 +/- 0.1,> 100,n.i.,n.i.,,
79,O=C(C1=CC=C(C(N2CCOCC2)=O)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)C(N2CCOCC2)=O,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,33.2 +/- 4.6,39.5 +/- 13.5,14.9 +/- 1.1,> 100,n.i.,n.i.,,
80,O=C(C1=CC(C(N2CCOCC2)=O)=CC=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC(C(N2CCOCC2)=O)=CC=C1,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,n.i.,34.6 +/- 9.7,23.3 +/- 3.6,> 100,n.i.,n.i.,,
81,O=C(C1=CC=C(OCCC(C)C)C=C1)N[C@@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)C(NC4=CC=CC(C(N)=O)=C4)=O,O=CC1=CC=C(C=C1)OCCC(C)C,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,10.2 +/- 4.1,25.3 +/- 7.1,49.3 +/- 3.2,n.d.,> 50,n.i.,n.i.,,
82,O=C(C(C)(C)CCCOC1=C(C)C=CC(C)=C1)N[C@@H](C2=CC=C(OCC3=CC=CC=C3)C=C2)C(NC4=CC=CC(C(N)=O)=C4)=O,O=CC(C)(CCCOC1=C(C=CC(C)=C1)C)C,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,19.4 +/- 3.6,81.9 +/- 6.1,1.7 +/- 0.2,> 25,n.i.,n.i.,,
83,O=C(C1=CC=C(C2=CC=CC=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)C2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,11.6 +/- 3.8,14.5 +/- 8.8,78.7 +/- 3.6,1.7 +/- 0.3,> 100,n.i.,12.5 +/- 2.5,,
84,O=C(C1=CC=C(C2=CC=C(Cl)C=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)C2=CC=C(C=C2)Cl,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,20.3 +/- 5.0,45.3 +/- 0.4,77.9 +/- 7.6,1.2 +/- 0.1,> 25,n.i.,n.i.,100,1.57
85,O=C(C1=CC=C(C2=CC=CO2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)C2=CC=CO2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,17.7 +/- 0.1,27.9 +/- 0.2,76.2 +/- 6.1,1.7 +/- 0.1,> 50,n.i.,18.3 +/- 9.3,59.2,
86,O=C(C1=CC=C(C2=CN=CN=C2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)C2=CN=CN=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,n.i.,59.3 +/- 7.1,8.1 +/- 0.9,> 50,n.i.,16.6 +/- 1.1,,
87,O=C(C1CCN(C2=CC=CC=C2)CC1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1CCN(CC1)C2=CC=CC=C2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,19.1 +/- 7.5,19.8 +/- 5.0,46.1 +/- 7.3,n.d.,> 50,n.i.,n.i.,,
88,O=C(C1=CC=C(N2CCOCC2)C=C1)N[C@@H](C3=CC=C(OCC4=CC=CC=C4)C=C3)C(NC5=CC=CC(C(N)=O)=C5)=O,O=CC1=CC=C(C=C1)N2CCOCC2,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=CC(C(N)=O)=C1,n.i.,n.i.,79.3 +/- 5.9,2.2 +/- 0.4,> 100,n.i.,16.4 +/- 9.2,95.9,0.85
89,O=C(O)C1=CC=C(OCC2=CC=CC=C2)C=C1,,,,,,,,,,,,
90,OC(C1=CC=C(OCCC(C)C)C=C1)=O,,,,,,,,,,,,
91,O=C(OC)C1=CC=C(O)C=C1,,,,,,,,,,,,
92,O=C(OC)C1=CC=C(B(O)O)C=C1,,,,,,,,,,,,
93,OC(C1=CC=C(OC2=C(OC)C=CC=C2)C=C1)=O,,,,,,,,,,,,
94,OC(C1=CC=C(OC2=CC=C(C#N)C=C2)C=C1)=O,,,,,,,,,,,,
95,OC(C1=CC=C(OC2=CC=C(C(F)(F)F)C=C2)C=C1)=O,,,,,,,,,,,,
96,OC(C1=CC=C(OC2=CC3=C(OCO3)C=C2)C=C1)=O,,,,,,,,,,,,
97,OC(C1=CC=C(OC2=CC(OCCO3)=C3C=C2)C=C1)=O,,,,,,,,,,,,
98,OC(C1=CC=C(OC2=CC=CC(CC3)=C2C3=O)C=C1)=O,,,,,,,,,,,,
99,OC(C1=CC=C(OC2=CC=C(Cl)C=C2)C=C1)=O,,,,,,,,,,,,
100,OC(C1=CC=C(OC2=CC(Cl)=CC=C2)C=C1)=O,,,,,,,,,,,,
101,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(N)C=C3)=O,,,,,,,,,,,,
102,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(O)=O,,,,,,,,,,,,
103,O=C(OC)C1=CC=C(OC2=C(OC)C=CC=C2)C=C1,,,,,,,,,,,,
104,O=C(OC)C1=CC=C(OC2=CC=C(C#N)C=C2)C=C1,,,,,,,,,,,,
105,O=C(OC)C1=CC=C(OC2=CC=C(C(F)(F)F)C=C2)C=C1,,,,,,,,,,,,
106,O=C(OC)C1=CC=C(OC2=CC3=C(OCO3)C=C2)C=C1,,,,,,,,,,,,
107,O=C(OC)C1=CC=C(OC2=CC(OCCO3)=C3C=C2)C=C1,,,,,,,,,,,,
108,O=C(OC)C1=CC=C(OC2=CC=CC(CC3)=C2C3=O)C=C1,,,,,,,,,,,,
109,O=C(OC)C1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,,,,,,,,,,,,
110,O=C(OC)C1=CC=C(OC2=CC(Cl)=CC=C2)C=C1,,,,,,,,,,,,
111,[NH3+]C1=CC=C(OCC2=CC=CC=C2)C=C1.[Cl-],,,,,,,,,,,,
112,O=C(NC1=CC=CC=C1)C2CCNCC2,,,,,,,,,,,,
113,NS(C1=CC=C(N)C=C1)(=O)=O,,,,,,,,,,,,
115,N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(O)=O,,,,,,,,,,,,
116,N[C@@H](C1=CC=C(OCC2=CC=C(C(F)(F)F)C=C2)C=C1)C(O)=O,,,,,,,,,,,,
117,N[C@@H](C1=CC=C(OCC2=CC=C(C(C)(C)C)C=C2)C=C1)C(O)=O,,,,,,,,,,,,
118,N[C@@H](C1=CC=C(OCC2=CC=C(C#N)C=C2)C=C1)C(O)=O,,,,,,,,,,,,
119,N[C@@H](C1=CC=C(OCC2=CC=CC(OC)=C2)C=C1)C(O)=O,,,,,,,,,,,,
120,N[C@@H](C1=CC=C(OCC2=C(Cl)C=CC=C2Cl)C=C1)C(O)=O,,,,,,,,,,,,
121,N[C@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(O)=O,,,,,,,,,,,,
122,N[C@H](C1=CC=C(OCC2=CC=C(C(F)(F)F)C=C2)C=C1)C(O)=O,,,,,,,,,,,,
123,N[C@H](C1=CC=C(OCC2=CC=C(Cl)C(Cl)=C2)C=C1)C(O)=O,,,,,,,,,,,,
124,O=C(O)[C@H](C1=CC=C(C(F)(F)F)C=C1)NC(OCC2C(C=CC=C3)=C3C4=C2C=CC=C4)=O,,,,,,,,,,,,
125,O=C(O)[C@H](C1=CC=C(O)C=C1)NC(OCC2C(C=CC=C3)=C3C4=C2C=CC=C4)=O,,,,,,,,,,,,
126,O=C(O)[C@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O,,,,,,,,,,,,
127,O=C(O)[C@H](C1=CC=C(OCC2=CC=C(C(F)(F)F)C=C2)C=C1)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O,,,,,,,,,,,,
128,O=C(O)[C@H](C1=CC=C(OCC2=CC=C(C(C)(C)C)C=C2)C=C1)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O,,,,,,,,,,,,
129,O=C(O)[C@H](C1=CC=C(OCC2=CC=C(C#N)C=C2)C=C1)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O,,,,,,,,,,,,
130,O=C(O)[C@H](C1=CC=C(OCC2=CC=CC(OC)=C2)C=C1)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O,,,,,,,,,,,,
131,O=C(O)[C@H](C1=CC=C(OCC2=C(Cl)C=CC=C2Cl)C=C1)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O,,,,,,,,,,,,
132,O=C(O)[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O,,,,,,,,,,,,
133,O=C(O)[C@@H](C1=CC=C(OCC2=CC=C(C(F)(F)F)C=C2)C=C1)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O,,,,,,,,,,,,
134,O=C(O)[C@@H](C1=CC=C(OCC2=CC=C(Cl)C(Cl)=C2)C=C1)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O,,,,,,,,,,,,
135,O=C(O)[C@H](C1=CC=C(OC2=CC=CC=C2)C=C1)NC(OCC3C(C=CC=C4)=C4C5=C3C=CC=C5)=O,,,,,,,,,,,,
136,O=C(OC)C1CCNCC1,,,,,,,,,,,,
137,O=C(OC)C1CCN(C2=CC=CC=C2)CC1,,,,,,,,,,,,
138,OC(C1CCN(C2=CC=CC=C2)CC1)=O,,,,,,,,,,,,
139,OC(C(C=C1)=CC=C1C2=CC=C(Cl)C=C2)=O,,,,,,,,,,,,
140,[O-]S(C1=CC=C(NC(C)=O)C=C1)(=O)=O.[Na+],,,,,,,,,,,,
141,NS(C1=CC=C(NC(C)=O)C=C1)(=O)=O,,,,,,,,,,,,
142,OC(C1CCN(C(OC(C)(C)C)=O)CC1)=O,,,,,,,,,,,,
143,OC(C1CCN(C(OCC2C(C=CC=C3)=C3C4=C2C=CC=C4)=O)CC1)=O,,,,,,,,,,,,
144,O=C(NC[C@@H]1CC[C@@H](C(O)=O)CC1)OCC2C(C=CC=C3)=C3C4=C2C=CC=C4,,,,,,,,,,,,
145,O=C(NC1=CC(C(O)=O)=CC=C1)OCC2C(C=CC=C3)=C3C4=C2C=CC=C4,,,,,,,,,,,,
146,O=C(NCC1=CC=C(C(O)=O)C=C1)OCC2C(C=CC=C3)=C3C4=C2C=CC=C4,,,,,,,,,,,,
147,O=C(NCCC1=CC=C(C(O)=O)C=C1)OCC2C(C=CC=C3)=C3C4=C2C=CC=C4,,,,,,,,,,,,
148,O=C(NC1=CC=C(CC(O)=O)C=C1)OCC2C(C=CC=C3)=C3C4=C2C=CC=C4,,,,,,,,,,,,
149,O=C(NC1=CC=C(CO)C=C1)OCC2C(C=CC=C3)=C3C4=C2C=CC=C4,,,,,,,,,,,,
150,O=C(NCCC1=CC=C(O)C=C1)OCC2C(C=CC=C3)=C3C4=C2C=CC=C4,,,,,,,,,,,,
151,O=C(NCC1=CC=C(N)C=C1)OCC2C(C=CC=C3)=C3C4=C2C=CC=C4,,,,,,,,,,,,