name,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19
22-1,31.23684159617959,15.129010012079553,-3.1746476648718764,-0.13767171991188795,16.522459276808323,15.045283317515503,-5.8568994665285725,-2.0722455921681573,11.099442812874509,3.9568560444183944,-5.773415517139303,-1.2987929412594579,-1.8629700637467295,4.426903286411537,-0.8065959073373526,-1.447755887920348,0.014756668064274859,0.09479084458095137,-0.21136237418426662,-0.6783029232777216
22-2,1.671221159525173,4.680084279036454,-10.157216503794203,-0.7437771878159619,3.0756701103237907,-2.8510717274288266,-5.814138239433165,-1.9840261107817134,-4.484448932411742,0.26329955303702063,1.417854944601305,0.054285128254491874,-2.896101432986136,-2.1860811014728507,-2.392777481037773,-1.1172995253616744,2.0905775027846025,3.105760198325945,-1.9923049694940103,3.1045393278363136
22-3,38.040266156787325,37.755411776320045,25.76382110034912,-7.183520584396155,-3.1135502813609075,-5.840637780593588,4.859923199862376,-0.4319276488106133,-0.04702669523311398,-6.264334080231669,4.131317492321775,-0.5711091202799247,-4.101944172183877,-0.8869054397330027,-0.4117219248544457,-0.6213158579735695,0.09375863855112498,0.0291823698830515,0.2956111241608491,0.18782855589792632
22-4,1.8922119284159615,9.394460817119827,-11.670054463726427,-3.699938801542377,0.6029240547935676,-6.651128928026666,-3.932118435302298,-3.455253587448081,-5.687523395405215,2.980057590031773,-1.6495525302555918,2.609582858736282,-0.8621416993698526,0.3781147258995796,-0.5473998028642458,-3.205260039846737,-2.8200409096774814,2.663336570509645,2.400955248913993,5.078141892652541
22-5,0.8831528218600116,8.174733456748015,-12.441716527654423,-4.6931419235924166,-0.577219083840995,-3.2372856364683567,2.626773587589402,-1.9943286812482872,0.14972893935021364,6.661313367725473,3.6429458786809805,-0.7122722246568363,-3.192900504155577,-2.5163459900992384,-1.2971636577409016,4.483594216755039,2.1173425333115667,-0.7856486524321346,-0.9961275595638398,-1.7238079508350903
22-6,1.2054052820879526,9.154952814642188,-12.301448069402829,-5.293411407242657,1.8439664406464964,-2.5296617057073476,0.9986388200634211,0.6080078318920532,-1.3282163909346423,4.343801494182384,3.289718320058693,0.5031031648845585,-2.0299067476794654,-1.1480839365470936,-0.35623401005249455,6.07625884957514,0.6664603659442316,1.449507640383285,-0.9034359188495577,-1.228976445051001
22-7,-18.36202936147284,-2.309525112556782,2.490535943896667,-15.679022726994587,19.175952755640445,0.6728100109340233,-0.04079404515613882,-2.3475452665362084,-0.11397612324083067,-4.220791776794196,4.388592084844874,2.7487639227795486,9.263742011200712,-4.981307332851852,2.8840570306658626,-0.43131229018046047,1.3697205326783075,-2.2496812739644945,-1.562228918011494,0.7303882980077202
22-8,-21.018289699590657,-5.902583610811939,0.6111640527478718,2.103170755741683,5.768859234098941,-4.950120749416748,-2.01733101676727,0.08505655130110343,-2.70966404549104,-4.134815187209934,-0.579359000817677,-1.4078387095572493,-2.7237181035958797,3.7699328515354784,-2.961715771533187,-1.5897690078544522,-3.290975053729357,-2.0074858782289073,0.3680004433191896,1.3263299442318721
22-9,-20.85302743411363,-0.9453002292297508,-1.8890290790231459,-3.679967324453524,2.278928979153882,-4.274706330771496,7.740539007860158,-0.31278947939450463,0.3670082149498987,1.3290369302895897,-0.6313984447182285,-2.370928880031654,-2.1632370148613878,4.875103352281232,0.144240436496895,4.085701660518775,-3.835693524082723,-3.119847593124924,1.4272859427211564,-0.5897076274508896
22-10,7.18437599356229,3.4199575111830876,-9.672624475215569,8.763757431701725,-2.8572621671117164,-5.210539529955701,-3.623829407489526,-2.3491672295975063,-1.6538423945382403,-6.357690175439927,-5.48417088079264,-3.727985397670434,-0.816051545307296,-0.3405362077700893,6.243282848713831,0.45204810483127816,1.17388897546341,-2.946553365851561,-1.263085692930536,-0.0893562236739432
22-11,3.4478225428713896,9.111320546252111,-10.081064545348973,-1.7817301949622217,1.1879658878766557,-3.376535690905882,0.15479690735782242,9.222321802360279,-6.315925302713518,-2.6651442742811886,-5.668723416934493,3.336745166402956,1.035974904996223,0.11648460176285169,-3.3687451060736104,-2.7801103122748607,-3.326579883155759,-3.4517822420009256,-2.2628305057982048,-4.049922716303124
22-12,6.04214514130117,3.3683712020307697,-10.155744525556763,9.102807803420506,-4.5063836844706335,-0.3403543424601536,-1.259197939503565,0.49554256907543254,2.0344583845702013,-2.5988954585975534,0.2707316112343892,-4.601630390927713,-0.7236293720785901,-1.3403739180816912,7.980438237926181,-0.3219012619339182,2.544313541223768,-1.4992928804722117,1.141980107857133,0.7233556176907807
22-13,3.5376590717188487,5.329638604827356,-10.416347538604015,-5.783296577802686,-16.67123221413968,3.9449880863642117,-3.4559196973558333,5.562700594766205,4.937244083357814,-4.047513896941475,4.125747076997432,-1.1101732777335256,8.133669872287227,5.896489399001597,-5.036046600674004,0.22242111935814024,3.432094723646441,-0.6126336947813527,-0.7657772787637923,1.5864725280432574
22-14,1.7616679930029018,5.652738639726744,-8.973438175896833,-0.865381450179179,-5.486330921358454,-0.3264390582170789,3.2394835307457055,5.082595049598415,3.6951637795784866,2.680987877227939,1.625866378488797,2.25916135090055,3.0282084296745,-4.283491293850712,3.040349866764415,-4.864821406074891,-2.5351833877289924,4.245131213175398,3.5320248850265865,-4.016827391906815
22-15,-21.193130102915948,-7.677297630571428,0.7835071285257081,2.065677531123977,1.1932173338224112,-2.130624828884677,5.117512095740597,-1.9673131016556633,3.5261921840780492,-1.3359256003320752,0.4080920862885575,-1.2312783168864165,-1.720596268955632,1.8582161333883738,0.2328748408011589,-1.3403931530898505,-0.06992882500671403,2.653406839572721,1.0165909101134682,0.49910839552241276
22-16,-22.718330016406203,-7.379919071968853,2.207505776865845,2.6609879063300252,3.013692994638329,2.605749798089257,-0.38844203133055294,3.7213171569452457,4.068185643906446,1.768333079662359,10.67646564193857,-3.7592183728010897,-2.514952280682699,0.5299696446135226,-0.36329777458319223,-2.479274796585946,-1.186786518145697,-3.263089008006054,3.1414181621397033,0.7426234687922542
22-17,-21.90817571570571,-13.934640064592143,2.9683645787532886,8.734291215876354,3.4748150215361115,-2.4096153675031493,-4.139742213145471,-2.0282065256743262,2.3622192622073785,-7.2109469906894805,2.1489277530198856,-2.9273636407041788,-4.3954001100493025,-1.6523396988511325,-4.008896886270132,-0.9188797807866758,1.9145648752384403,4.677340676281172,-2.6049762209081826,-3.6503005821961043
22-18,-8.988791890660393,-3.764276477883547,4.84519910582838,11.223180476043948,-5.255356309774053,0.1045982083966928,-5.7976000554889096,0.19023950222015648,8.411879532453616,-2.671280441176034,-1.0141438614609113,13.812677602599571,-2.7562133590099083,-3.2790921031801137,-0.4262658796938456,3.570594718719732,-0.9096807068265617,-2.1285405143392007,1.0680378738662022,1.29826362417143
22-19,-12.995339366770192,0.25860783869330706,14.403906735923535,6.275985980312315,-8.118223603934956,-1.2111789939344322,-3.0886176300183568,-1.9661620985972836,-0.6552933056023095,12.021538849363344,0.580982884192944,-0.9054686870889217,-0.2313336390797894,-2.255389811131614,-0.12869092607952237,-4.804463806741996,1.2228159811323187,-3.9032142381699586,-4.218060812703845,0.049907953666142826
22-20,-13.489592104221707,3.3481466872007952,16.655465323661947,5.178342039476015,0.7961392111508311,1.1810874864123355,-7.4212105165598965,9.077669885010495,-3.1698750344257456,2.9507756073901374,0.8250147492215778,-0.7261825170048538,4.166802685412209,4.250538604815284,5.353869754146923,4.028617306905098,-3.753773645141227,4.708290360241644,-2.395071797183823,0.42237748961235816
22-21,-19.2925503364718,-2.825966508507336,0.8239561362907889,-2.439761757306192,-3.00082420547678,-2.2790454974748107,16.79747287244159,-4.494128342127402,4.827420052149304,0.5412418051787344,-5.205363529834826,3.773239124573163,1.100726330679328,3.7092115129665295,1.9070409354991333,-1.7782354495175263,1.775233973052426,2.149625096752981,-3.1119263444503464,1.339817046274709
22-22,26.66184884281421,-0.21424003901328892,-2.1153650111965105,23.11856174802214,0.4116657344511581,14.536086049713472,7.67373286278489,-8.915994671927773,-8.052280809910663,-1.1120071032524685,4.673409638002532,0.7661301836920411,4.988532744126736,-0.44702151285473263,-2.1800988838291055,0.9981025678312844,-2.596463139468429,-0.03369383336845949,-0.08956241312640771,-0.13838185600915667
22-23,-11.924589000444968,-3.2555286573041924,6.994751358140207,2.319185470088656,3.5698889544422676,12.538584088738055,6.441522298688754,13.524921515283934,-6.422459487765324,0.37180672431165324,-6.05178143117276,-0.8749987180291791,-2.716816232297274,-3.453468812669813,-1.6657567179907307,0.8983517666021722,5.430589992391383,0.11085857784059881,2.4291067103976234,2.0218350057054324
22-24,-12.854400785375045,4.392689849627924,12.200280815916038,3.399474535526197,-0.20610317824176802,-10.259952205600182,-4.6734480130065785,-7.96311971714616,-0.6842535831968293,2.79136216935017,-7.28572963127207,-2.996200428072313,7.412035342377722,-0.5390849402180614,-3.652637132810093,2.0094711384889337,2.735724809550895,0.11709136441686356,4.775406898593258,-1.9285204739868038
22-25,49.08230820762037,-31.42734418656916,4.72045259460725,-5.192991083577977,2.8823825450378777,-5.807248777410986,-1.759971618919292,0.08678057581944182,-5.81724001125208,1.8503583476543777,3.110246333569318,5.4818004361175,-1.7499724776644654,6.488310752661336,2.441061427061397,-1.165548806854117,4.153035247413659,-0.26185986562234237,1.4425358101569292,-1.9780821800098243
22-26,49.487696730387285,-30.40298442835146,3.253574475960927,-5.49066836096949,-2.7217399700636333,-4.818975435656928,2.5656919416564405,3.202979817787425,6.050945455838781,0.38131190855043157,-3.3711228284435952,-5.5764823766137175,1.7290561181733615,-6.007543810722512,-2.3364430394565674,1.6837104032542711,-4.3125943467215535,0.20395297599995088,-1.2017545105704996,2.276052065588355
22-27,-16.536377653985397,-9.13051801812823,4.32621145282401,-22.281141792916195,-13.28430291464749,17.875935540253487,-4.946826798785743,-8.577924798946505,-4.387862833193387,-2.2727363634277933,-2.601151800619556,-0.547564939623208,-3.400863415224161,-0.9822089553028215,1.7132721248054001,0.3574695301571744,-2.097178420762359,0.05504831239831821,0.5395511992727122,-1.3148548429930202
