name,smiles
8-1,IC1=CC(C(NC2=CC(C(F)(F)F)=C(CN3CCN(C)CC3)C=C2)=O)=CC=C1C
8-2,IC1=CC(C(NC2=CC(C(F)(F)F)=C(CN3CCN(CCO)CC3)C=C2)=O)=CC=C1C
8-3,IC1=CC(C(NC2=CC(C(F)(F)F)=C(CN3CCC(O)CC3)C=C2)=O)=CC=C1C
8-4,IC1=CC(C(NC2=CC(C(F)(F)F)=C(CN3C=CN=C3)C=C2)=O)=CC=C1C
8-5,IC1=CC(C(NC2=CC=CC=C2)=O)=CC=C1C
16-1,IC1=CC(NC(C2=CC(C(F)(F)F)=C(CN3CCN(C)CC3)C=C2)=O)=CC=C1C
16-2,IC1=CC(NC(C2=CC(C(F)(F)F)=C(CN3CCN(CCO)CC3)C=C2)=O)=CC=C1C
16-3,IC1=CC(NC(C2=CC(C(F)(F)F)=C(CN3CCC(O)CC3)C=C2)=O)=CC=C1C
16-4,IC1=CC(NC(C2=CC(C(F)(F)F)=C(CN3C=CN=C3)C=C2)=O)=CC=C1C
19,CN(CC1)CCN1CC2=C(C(F)(F)F)C=C(NC(NC3=NN(C)C(Br)=C3)=O)C=C2
,
,
,
,
,
,
,
,
,
,
,
,