     composition , E_hull         , mu_mu_B , PBE_fund_SOC , PBE_direct_SOC              , HSE_fund , HSE_direct               , m_star , m_e_star  , m_h_star   ,   E_f         
      NH_4AgBr_3,      0.004,        0.0,       0.00( 0.00),            0.00  ( 0.00),       0.00,            0.00,                ,                ,                ,     -0.445
 NH_4MnBr_3-1D-W,      0.004,       20.0,       1.32(-0.01),            1.33  (-0.01),           ,                ,           14.03,         >1000,           14.09,     -0.627
 H_3SGeCl_3-1D-R,      0.004,        0.0,       3.51(-0.01),            3.75  (-0.01),           ,                ,            3.95,            4.33,           45.11,     -0.496
 H_3SGeCl_3-1D-W,      0.004,        0.0,       3.67(-0.01),            3.73  (-0.02),           ,                ,            7.36,            7.80,          131.74,     -0.496
     MPGeBr_3-1D-W,      0.004,        0.0,       2.95(-0.03),            3.04  (-0.03),           ,                ,            0.71,            0.83,            4.86,     -0.323
    tBAHgBr_3-1D-W,      0.004,        0.0,       2.39(-0.08),            2.39  (-0.08),           ,                ,            2.15,            2.15,         >1000,     -0.320
 H_3SZnCl_3-1D-W,      0.004,        0.0,       3.84(-0.00),            3.84  (-0.00),           ,                ,            0.90,            0.90,         >1000,     -0.618
 NH_4GeCl_3-1D-W,      0.004,        0.0,       3.78(-0.01),            3.89  (-0.01),           ,                ,            2.91,            3.44,           18.86,     -0.689
   H_3SPbBr_3-2D,      0.004,        0.0,       2.20(-0.63),            2.33  (-0.65),           ,                ,            0.63,            0.94,            1.88,     -0.495
     MSPbBr_3-1D-R,      0.004,        0.0,       2.52(-0.50),            2.58  (-0.51),           ,                ,           44.28,          149.35,           62.93,     -0.418
     MPHgBr_3-1D-W,      0.005,        0.0,       2.30(-0.09),            2.30  (-0.09),           ,                ,            0.77,            0.77,         >1000,     -0.285
     MPFeBr_3-1D-W,      0.005,       16.0,       0.00(-0.01),            0.00  (-0.01),       2.65,            2.65,         >1000,         >1000,         >1000,     -0.271
H_3SSnCl_3-3D-OR,      0.005,        0.0,       2.05(-0.23),            2.06  (-0.22),           ,                ,            0.37,            1.25,            0.53,     -0.564
   NH_4AuCl_3-2D,      0.005,        0.0,       0.77(-0.09),            0.78  (-0.10),       1.53,            1.56,            2.29,           37.53,            2.44,     -0.509
  NH_4CaI_3-1D-R,      0.005,        0.0,       3.33(-0.25),            3.33  (-0.25),           ,                ,            0.35,            0.38,            4.14,     -0.847
       GBaI_3-1D-W,      0.005,        0.0,       3.54(-0.29),            3.54  (-0.29),           ,                ,            3.93,          130.12,            4.05,     -0.643
   H_3SSnCl_3-2D,      0.005,        0.0,       2.72(-0.06),            3.04  (-0.06),           ,                ,            3.02,            5.20,            7.22,     -0.563
       H_3SCdI_3,      0.005,        0.0,       1.81(-0.24),            1.81  (-0.24),           ,                ,            0.32,            0.32,           39.23,     -0.296
     MSAuBr_3-1D-W,      0.005,        0.0,       0.24(-0.26),            0.26  (-0.25),       1.23,            1.24,          315.48,          519.74,          802.75,     -0.208
NH_4AuBr_3-3D-OR,      0.005,        0.0,       0.00( 0.00),            0.00  ( 0.00),       0.00,            0.00,                ,                ,                ,     -0.416
 NH_4PbBr_3-1D-W,      0.005,        0.0,       2.98(-0.53),            3.01  (-0.51),           ,                ,            1.97,            2.82,            6.58,     -0.681
   NH_4CaCl_3-2D,      0.005,        0.0,       5.02(-0.02),            5.02  (-0.02),           ,                ,            0.47,            0.49,           13.15,     -1.206
     MPZnCl_3-1D-W,      0.005,        0.0,       3.97(-0.00),            3.97  (-0.00),           ,                ,            0.81,            0.81,          812.91,     -0.476
   NH_4PbCl_3-2D,      0.005,        0.0,       2.68(-0.54),            2.79  (-0.54),           ,                ,            0.63,            0.94,            1.88,     -0.797
     MPCaBr_3-1D-R,      0.005,        0.0,       3.68(-0.06),            3.68  (-0.06),           ,                ,          193.70,          194.58,         >1000,     -0.674
    tBABeCl_3-1D-W,      0.005,        0.0,       5.14(-0.00),            5.17  (-0.00),           ,                ,            0.65,            0.65,         >1000,     -0.474
      H_3SGeCl_3,      0.005,        0.0,       1.96(-0.03),            1.96  (-0.03),       2.55,            2.55,            0.28,            1.07,            0.37,     -0.494
     MPSnI_3-3D-OR,      0.005,        0.0,       0.73(-0.30),            0.73  (-0.30),       1.18,            1.18,            0.16,            0.64,            0.22,     -0.257
       MSPbBr_3-2D,      0.005,        0.0,       2.27(-0.62),            2.47  (-0.56),           ,                ,            1.41,            1.88,            5.64,     -0.417
    MPPbBr_3-3D-OR,      0.005,        0.0,       1.09(-1.07),            1.09  (-1.07),           ,                ,            0.20,            0.52,            0.32,     -0.402
 NH_4CoBr_3-1D-W,      0.006,       12.0,       0.00( 0.00),            0.00  ( 0.00),       3.38,            3.39,           77.80,          654.70,           88.30,     -0.453
     MPPbBr_3-1D-W,      0.006,        0.0,       2.87(-0.35),            2.93  (-0.41),           ,                ,            0.69,            0.74,            9.68,     -0.402
   NH_4SnBr_3-2D,      0.006,        0.0,       1.98(-0.12),            2.12  (-0.12),           ,                ,            0.54,            1.25,            0.94,     -0.629
   NH_4SnCl_3-2D,      0.006,        0.0,       2.42(-0.09),            2.59  (-0.09),           ,                ,            0.68,            1.39,            1.34,     -0.744
    MPPbCl_3-3D-OR,      0.006,        0.0,       1.58(-1.04),            1.58  (-1.04),           ,                ,            0.24,            0.71,            0.37,     -0.482
NH_4CdBr_3-1D-R\bullet,      0.006,        0.0,       2.64(-0.09),            2.69  (-0.13),           ,                ,            0.31,            0.33,            7.88,     -0.658
          MPPbCl_3,      0.006,        0.0,       2.10(-0.91),            2.10  (-0.91),           ,                ,            1.82,            1.88,           61.06,     -0.481
          MPPbBr_3,      0.006,        0.0,       1.49(-0.93),            1.49  (-0.93),           ,                ,            1.46,            1.88,            6.58,     -0.401
 NH_4MgBr_3-1D-W,      0.006,        0.0,       4.13(-0.06),            4.13  (-0.06),           ,                ,            0.34,            0.36,            6.12,     -0.868
 H_3SSnCl_3-1D-W,      0.006,        0.0,       3.51(-0.04),            3.55  (-0.04),           ,                ,            3.61,            3.63,          962.91,     -0.562
      GGeCl_3-1D-W,      0.006,        0.0,       4.18(-0.01),            4.22  (-0.01),           ,                ,            3.03,            3.18,           63.68,     -0.523
 H_3SGeF_3-3D-OR,      0.006,        0.0,       4.35(-0.03),            4.37  (-0.02),           ,                ,            1.00,            2.15,            1.86,     -1.220
  H_3SCdI_3-1D-W,      0.006,        0.0,       2.43(-0.20),            2.43  (-0.24),           ,                ,            0.62,            0.63,           84.35,     -0.295
 NH_4GeBr_3-1D-R,      0.007,        0.0,       2.41(-0.03),            2.54  (-0.04),           ,                ,            3.30,           14.39,            4.29,     -0.564
   NH_4PbBr_3-2D,      0.007,        0.0,       2.16(-0.60),            2.22  (-0.60),           ,                ,            0.47,            0.94,            0.94,     -0.680
NH_4CaCl_3-3D-OR,      0.007,        0.0,       4.78(-0.00),            4.90  (-0.00),           ,                ,            0.47,            0.48,           22.13,     -1.205
     MPGeCl_3-1D-W,      0.007,        0.0,       3.62(-0.00),            3.73  (-0.00),           ,                ,            1.09,            1.13,           32.22,     -0.408
           MPSnI_3,      0.007,        0.0,       0.89(-0.27),            0.89  (-0.27),       1.35,            1.35,            0.52,            0.89,            1.23,     -0.256
 H_3SSnBr_3-1D-W,      0.007,        0.0,       3.07(-0.05),            3.12  (-0.06),           ,                ,            2.65,            2.94,           27.44,     -0.432
      MSSrI_3-1D-R,      0.007,        0.0,       3.15(-0.21),            3.15  (-0.21),           ,                ,          108.80,          148.61,          406.09,     -0.578
     MPPbBr_3-1D-R,      0.007,        0.0,       2.46(-0.43),            2.60  (-0.44),           ,                ,           50.53,          116.47,           89.23,     -0.400
       MPZnCl_3-2D,      0.007,        0.0,       3.91(-0.01),            3.92  (-0.01),           ,                ,            1.58,            1.58,         >1000,     -0.474
     GSnCl_3-3D-OR,      0.007,        0.0,       2.48(-0.13),            2.48  (-0.13),           ,                ,            0.44,            1.61,            0.60,     -0.552
   NH_4AgBr_3-2D,      0.007,        0.0,       0.11(-0.03),            0.30  (-0.04),       0.73,            0.92,            0.06,            0.12,            0.12,     -0.441
NH_4HgCl_3-3D-OR,      0.007,        0.0,       1.97(-0.02),            2.38  (-0.02),       3.19,            3.71,            0.63,            0.75,            4.11,     -0.597
      EASnI_3-1D-W,      0.007,        0.0,       2.48(-0.14),            2.53  (-0.17),           ,                ,            2.09,            3.76,            4.70,     -0.344
 NH_4SrCl_3-1D-R,      0.007,        0.0,       5.00(-0.02),            5.00  (-0.02),           ,                ,            0.43,            0.44,           18.19,     -1.228
   H_3SCaBr_3-2D,      0.007,        0.0,       4.24(-0.10),            4.24  (-0.13),           ,                ,            1.41,            1.59,           12.74,     -0.905
     MSZnBr_3-1D-W,      0.008,        0.0,       3.28(-0.05),            3.28  (-0.05),           ,                ,            0.68,            0.68,         >1000,     -0.407
    tBABeBr_3-1D-W,      0.008,        0.0,       4.42(-0.08),            4.43  (-0.09),           ,                ,            0.32,            0.32,         >1000,     -0.399
      NH_4MnCl_3,      0.008,        5.0,       1.02(-0.00),            1.65  ( 0.00),       3.52,            5.61,            0.68,            2.03,            1.03,     -0.753
 H_3SGeBr_3-1D-R,      0.008,        0.0,       3.00(-0.05),            3.30  (-0.04),           ,                ,            6.19,            8.52,           22.62,     -0.364
 H_3SZnBr_3-1D-W,      0.008,        0.0,       3.50(-0.08),            3.52  (-0.10),           ,                ,            0.52,            0.52,          513.50,     -0.479
NH_4PbI_3-2D\bullet,      0.008,        0.0,       1.64(-0.77),            1.64  (-0.77),           ,                ,            0.70,            2.82,            0.94,     -0.521
     MSPbBr_3-1D-W,      0.008,        0.0,       2.83(-0.40),            2.88  (-0.43),           ,                ,            0.87,            0.94,           11.27,     -0.415
      MPCaI_3-1D-R,      0.008,        0.0,       3.07(-0.18),            3.07  (-0.18),           ,                ,          231.08,          242.47,         >1000,     -0.526
   NH_4CaBr_3-2D,      0.008,        0.0,       4.04(-0.12),            4.04  (-0.12),           ,                ,            0.36,            0.38,            7.60,     -1.048
      GGeBr_3-1D-W,      0.008,        0.0,       3.54(-0.03),            3.56  (-0.04),           ,                ,            0.15,            0.91,            0.18,     -0.445
     tBASrI_3-1D-W,      0.008,        0.0,       3.75(-0.18),            3.75  (-0.18),           ,                ,            0.60,            0.61,           73.62,     -0.466
      NH_4CuCl_3,      0.008,        0.0,       0.00( 0.00),            0.00  ( 0.00),       0.00,            0.00,                ,                ,                ,     -0.564
 H_3SCdI_3-3D-OR,      0.008,        0.0,       1.97(-0.25),            1.98  (-0.24),           ,                ,            0.55,            0.56,           27.21,     -0.293
   NH_4AgCl_3-2D,      0.008,        0.0,       0.31(-0.00),            0.43  (-0.00),       1.31,            1.44,            1.61,            3.20,            3.22,     -0.533
 NH_4SnF_3-3D-OR,      0.008,        0.0,       3.74(-0.02),            3.74  (-0.02),           ,                ,            0.88,            1.36,            2.51,     -1.387
  NH_4GeI_3-1D-R,      0.008,        0.0,       1.96(-0.14),            2.01  (-0.17),           ,                ,            2.56,           28.18,            2.82,     -0.413
     GSnBr_3-3D-OR,      0.008,        0.0,       1.95(-0.18),            1.95  (-0.18),           ,                ,            0.35,            1.25,            0.48,     -0.476
    MSSeBr_3-3D-OR,      0.008,        0.0,       0.37( 0.01),            0.38  ( 0.00),       1.54,            1.55,           26.86,           68.57,           44.15,     -0.187
          MPBeCl_3,      0.008,        0.0,       4.90(-0.01),            5.01  (-0.00),           ,                ,            0.90,            0.93,           35.12,     -0.552
    NH_4SnI_3-2D,      0.008,        0.0,       1.59(-0.20),            1.65  (-0.23),       2.31,            2.36,            0.53,            2.59,            0.67,     -0.471
 H_3SZnCl_3-1D-R,      0.008,        0.0,       3.99(-0.02),            4.00  (-0.03),           ,                ,            0.54,            0.54,          977.79,     -0.614
      GZnBr_3-1D-W,      0.008,        0.0,       3.60(-0.05),            3.60  (-0.05),           ,                ,            0.62,            0.63,           62.30,     -0.489
          MSPbBr_3,      0.009,        0.0,       1.07(-0.96),            1.07  (-0.96),           ,                ,            0.25,            0.84,            0.35,     -0.414
           MPMnI_3,      0.009,        5.0,       1.58(-0.19),            1.73  (-0.17),           ,                ,           10.69,           63.79,           12.85,     -0.218
      GZnCl_3-1D-W,      0.009,        0.0,       4.50(-0.00),            4.50  (-0.00),           ,                ,            0.69,            0.70,           58.38,     -0.582
     MPPbCl_3-1D-R,      0.009,        0.0,       2.85(-0.36),            3.12  (-0.37),           ,                ,           52.36,           69.51,          212.28,     -0.479
 H_3SPbCl_3-1D-R,      0.009,        0.0,       2.92(-0.45),            3.13  (-0.45),           ,                ,           14.60,           20.66,           49.78,     -0.623
NH_4HgBr_3-3D-OR,      0.009,        0.0,       2.06(-0.07),            2.07  (-0.06),           ,                ,            0.69,            0.74,            8.61,     -0.516
     MPCdBr_3-1D-W,      0.009,        0.0,       2.98(-0.06),            2.98  (-0.06),           ,                ,            0.54,            0.54,           73.85,     -0.384
     MPSnCl_3-1D-W,      0.009,        0.0,       3.30(-0.02),            3.38  (-0.02),           ,                ,            0.87,            0.88,           74.22,     -0.448
 NH_4InBr_3-1D-W,      0.009,       -0.0,       1.54(-0.01),            1.81  (-0.02),       2.43,            2.69,            1.07,            1.11,           33.31,     -0.629
       NH_4GeF_3,      0.009,        0.0,       4.01(-0.02),            4.01  (-0.04),       5.13,            5.14,            0.61,            1.33,            1.11,     -1.324
     MPMgCl_3-1D-W,      0.009,        0.0,       4.51(-0.00),            4.51  (-0.00),           ,                ,            0.65,            0.70,            9.27,     -0.652
   NH_4GeCl_3-2D,      0.009,        0.0,       3.13(-0.04),            3.37  (-0.02),           ,                ,            1.18,            2.26,            2.49,     -0.684
       MSCaBr_3-2D,      0.010,        0.0,       4.15(-0.13),            4.17  (-0.12),           ,                ,            1.04,            1.12,           14.48,     -0.715
     MSTeBr_3-1D-R,      0.010,        0.0,       0.42( 0.12),            0.44  ( 0.13),       1.53,            1.55,           54.27,          122.11,           97.69,     -0.225
H_3SZnCl_3-3D-OR,      0.010,        0.0,       3.94(-0.01),            3.95  (-0.01),           ,                ,            0.57,            0.57,           86.43,     -0.613
       MPGeBr_3-2D,      0.010,        0.0,       3.16(-0.06),            3.28  (-0.05),           ,                ,            1.94,            2.15,           20.11,     -0.318
    MPSrBr_3-3D-OR,      0.010,        0.0,       4.36(-0.08),            4.40  (-0.07),           ,                ,            0.60,            0.64,            8.28,     -0.696
       GSnF_3-1D-W,      0.010,        0.0,       3.95(-0.01),            3.95  (-0.01),           ,                ,            1.41,            1.88,            5.64,     -0.964
NH_4CdBr_3-1D-W\bullet,      0.010,        0.0,       2.93(-0.10),            2.95  (-0.07),           ,                ,            0.42,            0.43,           16.03,     -0.653
      NH_4BeCl_3,      0.010,        0.0,       5.01(-0.01),            5.14  (-0.00),       6.38,            6.51,            0.46,            0.51,            4.93,     -0.877
       MPGeCl_3-2D,      0.010,        0.0,       3.44(-0.01),            3.71  (-0.01),           ,                ,            1.46,            1.52,           39.72,     -0.405
            GZnI_3,      0.010,        0.0,       2.85(-0.16),            3.00  (-0.22),       3.94,            4.07,            0.60,            0.65,            7.61,     -0.387
